Year,ID,Player,POS,Team,Rating,Round,RD_pick,Draft_pick
2010,39679,Sam Bradford,QB,LAR, 0.8778 ,1,1,1
2010,25602,Ndamukong Suh,DT,DET, 0.9797 ,1,2,2
2010,24870,Gerald McCoy,DT,TB, 0.9937 ,1,3,3
2010,39828,Trent Williams,OT,WAS, 0.8701 ,1,4,4
2010,24445,Eric Berry,DB,KC, 0.9986 ,1,5,5
2010,76307,Russell Okung,OT,SEA, 0.8497 ,1,6,6
2010,24784,Joe Haden,DB,CLE, 0.9290 ,1,7,7
2010,24783,Rolando McClain,LB,LV, 0.9338 ,1,8,8
2010,24875,C.J. Spiller,RB,BUF, 0.9919 ,1,9,9
2010,43342,Tyson Alualu,DE,JAX, 0.8778 ,1,10,10
2010,24474,Anthony Davis,OT,SF, 0.9760 ,1,11,11
2010,23527,Ryan Mathews,RB,LAC, 0.8198 ,1,12,12
2010,24889,Brandon Graham,LB,PHI, 0.9930 ,1,13,13
2010,23408,Earl Thomas,DB,SEA, 0.8767 ,1,14,14
2010,28289,Jason Pierre-Paul,DE,NYG, 0.9556 ,1,15,15
2010,7002,Derrick Morgan,DE,TEN, 0.9655 ,1,16,16
2010,75897,Mike Iupati,OG,SF, 0.8111 ,1,17,17
2010,53891,Maurkice Pouncey,OC,PIT, 0.8906 ,1,18,18
2010,39057,Sean Weatherspoon,LB,ATL, 0.7667 ,1,19,19
2010,52437,Kareem Jackson,DB,HOU, 0.8667 ,1,20,20
2010,25009,Jermaine Gresham,TE,CIN, 0.9731 ,1,21,21
2010,39328,Demaryius Thomas,WR,DEN, 0.8497 ,1,22,22
2010,24754,Bryan Bulaga,OT,GB, 0.9703 ,1,23,23
2010,24729,Dez Bryant,WR,DAL, 0.9783 ,1,24,24
2010,24970,Tim Tebow,QB,DEN, 0.9919 ,1,25,25
2010,75609,Dan Williams,DT,ARI, 0.8556 ,1,26,26
2010,43584,Devin McCourty,DB,NE, 0.7667 ,1,27,27
2010,24994,Jared Odrick,DT,MIA, 0.9429 ,1,28,28
2010,42127,Kyle Wilson,DB,NYJ, 0.7222 ,1,29,29
2010,24789,Jahvid Best,RB,DET, 0.9220 ,1,30,30
2010,39162,Jerry Hughes,LB,IND, 0.7889 ,1,31,31
2010,39495,Patrick Robinson,DB,NO, 0.8781 ,1,32,32
2010,39324,Rodger Saffold,OT,LAR, 0.7444 ,2,1,33
2010,45386,Chris Cook,DB,MIN, 0.8333 ,2,2,34
2010,24620,Brian Price,DT,TB, 0.9371 ,2,3,35
2010,39043,Dexter McCluster,RB,KC, 0.8479 ,2,4,36
2010,39170,Nate Allen,DB,PHI, 0.7646 ,2,5,37
2010,75909,T.J. Ward,DB,CLE,NULL,2,6,38
2010,24459,Arrelious Benn,WR,TB, 0.9937 ,2,7,39
2010,53906,Koa Misi,LB,MIA, 0.8333 ,2,8,40
2010,//247sports.comNA,Torrell Troup,DT,BUF,NULL,2,9,41
2010,24669,Rob Gronkowski,TE,NE, 0.9454 ,2,10,42
2010,24871,Sergio Kindle,LB,BAL, 0.9981 ,2,11,43
2010,25394,LaMarr Houston,DT,LV, 0.9204 ,2,12,44
2010,44443,Zane Beadles,OG,DEN, 0.7222 ,2,13,45
2010,53483,Linval Joseph,DT,NYG, 0.8333 ,2,14,46
2010,//247sports.comNA,Daryl Washington,LB,ARI,NULL,2,15,47
2010,24440,Jimmy Clausen,QB,CAR, 0.9988 ,2,16,48
2010,24891,Taylor Mays,DB,SF, 0.9945 ,2,17,49
2010,38594,Javier Arenas,DB,KC, 0.8510 ,2,18,50
2010,40232,Toby Gerhart,RB,MIN, 0.8701 ,2,19,51
2010,76489,Jason Worilds,LB,PIT,NULL,2,20,52
2010,25386,Jermaine Cunningham,LB,NE, 0.9564 ,2,21,53
2010,24579,Carlos Dunlap,DE,CIN, 0.9935 ,2,22,54
2010,43200,Sean Lee,LB,DAL, 0.8333 ,2,23,55
2010,43788,Michael Neal,DT,GB, 0.8556 ,2,24,56
2010,55046,Terrence Cody,DT,BAL, 0.8778 ,2,25,57
2010,25356,Ben Tate,RB,HOU, 0.9793 ,2,26,58
2010,25708,Montario Hardesty,RB,CLE, 0.9602 ,2,27,59
2010,24779,Golden Tate,WR,SEA, 0.9594 ,2,28,60
2010,76817,Vladimir Ducasse,OG,NYJ,NULL,2,29,61
2010,24885,Brandon Spikes,LB,NE, 0.9831 ,2,30,62
2010,44392,Patrick Angerer,LB,IND, 0.8333 ,2,31,63
2010,42718,Charles Brown,OT,NO, 0.8778 ,2,32,64
2010,42125,Jerome Murphy,DB,LAR, 0.7222 ,3,1,65
2010,41645,Amari Spievey,DB,DET, 0.7889 ,3,2,66
2010,39122,Myron Lewis,DB,TB, 0.7990 ,3,3,67
2010,42609,Jon Asamoah,OG,KC, 0.8111 ,3,4,68
2010,76548,Jared Veldheer,OT,LV,NULL,3,5,69
2010,43069,Ed Dickson,TE,BAL, 0.8556 ,3,6,70
2010,24627,Morgan Burnett,DB,GB, 0.9603 ,3,7,71
2010,76567,Alex Carrington,DE,BUF,NULL,3,8,72
2010,39019,John Jerry,OG,MIA, 0.9000 ,3,9,73
2010,85698,D'Anthony Smith,DT,JAX,NULL,3,10,74
2010,24608,Major Wright,DB,CHI, 0.9788 ,3,11,75
2010,24458,Chad Jones,DB,NYG, 0.9573 ,3,12,76
2010,7019,Damian Williams,WR,TEN, 0.9677 ,3,13,77
2010,41799,Brandon LaFell,WR,CAR, 0.8778 ,3,14,78
2010,39763,Donald Butler,LB,LAC, 0.8333 ,3,15,79
2010,43366,J.D. Walton,OC,DEN, 0.8111 ,3,16,80
2010,40093,Earl Mitchell,DT,HOU, 0.8622 ,3,17,81
2010,43679,Emmanuel Sanders,WR,PIT, 0.7000 ,3,18,82
2010,37579,Corey Peters,DT,ATL,NULL,3,19,83
2010,25969,Jordan Shipley,WR,CIN, 0.9323 ,3,20,84
2010,42562,Colt McCoy,QB,CLE, 0.8556 ,3,21,85
2010,//247sports.comNA,Daniel Te'p-Nesheim,DE,PHI,NULL,3,22,86
2010,42755,Eric Decker,WR,DEN, 0.7889 ,3,23,87
