Year,ID,Player,POS,HT,WT,High School,City,State,Rating,National_Rank,Position_Rank,State_Rank,Team
2021,46057349,Chet Holmgren, C ,7-0,190,Minnehaha Academy,Minneapolis,MN,1.0000,1,1,1,gonzaga
2021,46049474,Jaden Hardy, CG ,6-4,190,Coronado,Henderson,NV,0.9995,2,1,1,NULL
2021,46055770,Paolo Banchero, PF ,6-9,235,O Dea,Seattle,WA,0.9994,3,1,1,duke
2021,46050268,Patrick Baldwin Jr., SF ,6-9,190,Hamilton,Sussex,WI,0.9989,4,1,1,NULL
2021,46058607,Jabari Smith, PF ,6-10,210,Sandy Creek,Tyrone,GA,0.9985,5,2,1,auburn
2021,46093910,Caleb Houstan, PF ,6-8,205,Montverde Academy,Montverde,FL,0.9972,6,3,1,michigan
2021,46057844,Hunter Sallis, CG ,6-5,175,Millard North,Omaha,NE,0.9971,7,2,1,gonzaga
2021,46082389,Peyton Watson, SF ,6-8,190,Long Beach Poly,Long Beach,CA,0.9963,8,2,1,ucla
2021,46059105,JD Davison, PG ,6-3,175,Calhoun Sch,Letohatchee,AL,0.9960,9,1,1,alabama
2021,46083516,Daimion Collins, PF ,6-9,210,Atlanta,Atlanta,TX,0.9958,10,4,1,kentucky
2021,46058292,Kennedy Chandler, PG ,6-1,165,Sunrise Christian,Wichita,KS,0.9958,11,2,1,tennessee
2021,46056024,AJ Griffin, SF ,6-7,200,Archbishop Stepinac,White Plains,NY,0.9957,12,3,1,duke
2021,46056681,Harrison Ingram, SF ,6-7,210,St. Mark's,Dallas,TX,0.9951,13,4,2,stanford
2021,46048914,Michael Foster, PF ,6-9,220,Hillcrest Prep,Phoenix,AZ,0.9951,14,5,1,NULL
2021,46057211,Kendall Brown, SF ,6-8,205,Sunrise Christian,Wichita,KS,0.9950,15,5,2,baylor
2021,46057583,Nathan Bittle, C ,6-11,200,Prolific Prep,Napa,CA,0.9942,16,2,2,oregon
2021,46055369,Max Christie, SG ,6-6,195,Rolling Meadows,Rolling Meadows,IL,0.9939,17,1,1,michigan state
2021,46047666,Moussa Diabate, PF ,6-10,215,IMG Academy,Bradenton,FL,0.9937,18,6,2,michigan
2021,46057877,Brandon Huntley-Hatfield, PF ,6-9,230,Scotland Campus,Scotland,PA,0.9933,19,7,1,tennessee
2021,46050488,Trevor Keels, SG ,6-5,210,Paul VI Catholic,Fairfax,VA,0.9932,20,2,1,duke
2021,46056342,Aminu Mohammed, SG ,6-5,190,Greenwood Laboratory School,Washington,DC,0.9927,21,3,1,georgetown
2021,46058875,Bryce McGowens, SG ,6-6,175,Legacy Charter,Greenville,SC,0.9920,22,4,1,nebraska
2021,46079396,Matthew Cleveland, SF ,6-6,190,Pace Academy,Alpharetta,GA,0.9917,23,6,2,florida state
2021,46055252,Efton Reid, C ,6-11,225,IMG Academy,Bradenton,FL,0.9914,24,3,3,NULL
2021,46081442,Manny Obaseki, SG ,6-4,175,John Paul II,Allen,TX,0.9906,25,5,3,texas am
2021,46057695,TyTy Washington, PG ,6-3,185,Compass Prep,Chandler,AZ,0.9904,26,3,2,NULL
2021,46083774,Benny Williams, SF ,6-8,180,IMG Academy,Bradenton,FL,0.9901,27,7,4,syracuse
2021,46057514,Charles Bediako, C ,6-11,215,IMG Academy,Bradenton,FL,0.9890,28,4,5,alabama
2021,46085757,Nolan Hickman, PG ,6-2,185,Wasatch Academy,Mount Pleasant,UT,0.9884,29,4,1,kentucky
2021,46059170,Bryce Hopkins, PF ,6-7,220,Fenwick,Oak Park,IL,0.9880,30,8,2,kentucky
2021,46084262,Malaki Branham, SG ,6-4,175,St. Vincent-St. Mary,Akron,OH,0.9873,31,6,1,ohio state
2021,46097886,Jaylon Tyson, SF ,6-6,185,John Paul II,Plano,TX,0.9873,32,8,4,texas
2021,46097662,Jalen Warley, CG ,6-4,175,Westtown School,Norristown,PA,0.9867,33,3,2,florida state
2021,46058811,Trey Kaufman, PF ,6-8,210,Silver Creek,Sellersburg,IN,0.9865,34,9,1,purdue
2021,46055460,Kowacie Reeves, SG ,6-6,170,Westside,Macon,GA,0.9857,35,7,3,florida
2021,46058444,Langston Love, SG ,6-4,190,Montverde Academy,San Antonio,TX,0.9857,36,8,6,baylor
2021,46086033,Tyrese Hunter, PG ,6-1,175,St Catherines,Racine,WI,0.9856,37,5,2,iowa state
2021,46096746,Enoch Boakye, C ,6-10,240,George Harris Prep,Mississauga,ON,0.9854,38,5,1,arizona state
2021,46100032,Josh Minott, SF ,6-8,175,St Andrew's School,Boca Raton,FL,0.9845,39,9,7,memphis
2021,46076617,Zach Clemence, PF ,6-9,210,Sunrise Christian,San Antonio,TX,0.9840,40,10,3,kansas
2021,46085755,Kobe Bufkin, CG ,6-4,175,Grand Rapids Christian,Grand Rapids,MI,0.9837,41,4,1,michigan
2021,46057181,DaRon Holmes, PF ,6-8,195,Montverde Academy,Montverde,FL,0.9836,42,11,8,dayton
2021,46055603,Arthur Kaluma, PF ,6-8,205,Dream City Christian,Glendale,AZ,0.9831,43,12,3,NULL
2021,46086331,Tamar Bates, SG ,6-4,175,IMG Academy,Bradenton,FL,0.9822,44,9,9,indiana
2021,46049202,Will McClendon, SG ,6-3,190,Bishop Gorman,Las Vegas,NV,0.9820,45,10,2,ucla
2021,46059172,Isael Silva, PG ,6-3,185,Prolific Prep,Napa,CA,0.9819,46,6,3,stanford
2021,46076625,Jordan Longino, SG ,6-5,195,Germantown Academy,Fort Washington,PA,0.9815,47,11,3,villanova
2021,46056543,Rahsool Diggins, PG ,6-1,160,Archbishop Wood,Philadelphia,PA,0.9810,48,7,4,uconn
2021,46086193,Jordan Hawkins, SG ,6-5,170,DeMatha Catholic,Hyattsville,MD,0.9808,49,12,1,uconn
2021,46057312,Daeshun Ruffin, PG ,5-9,160,Callaway,Jackson,MS,0.9807,50,8,1,ole miss
2021,46058970,Frankie Collins, PG ,6-1,180,Coronado,Henderson,NV,0.9806,51,9,3,michigan
2021,46084880,Kaden Perry, C ,6-8,210,Battle Ground,Battle Ground,WA,0.9804,52,6,2,gonzaga
2021,46057180,Dallan Coleman, SG ,6-6,210,West Nassau County,Callahan,FL,0.9802,53,13,10,georgia tech
2021,46086703,Jaden Akins, PG ,6-3,160,Ypsi Prep Academy,Ypsilanti,MI,0.9801,54,10,2,michigan state
2021,46086383,Jonas Aidoo, C ,6-11,215,Liberty Heights Athletic Institute,Charlotte,NC,0.9797,55,7,1,tennessee
2021,46050303,Caleb Furst, PF ,6-8,215,Blackhawk Christian School,Fort Wayne,IN,0.9794,56,13,2,purdue
2021,93797,Zion Harmon, PG ,5-10,160,Marshall County,Benton,KY,0.9786,57,11,1,western kentucky
2021,46082372,Jahmai Mashack, SF ,6-5,190,Etiwanda,Rancho Cucamonga,CA,0.9785,58,10,4,tennessee
2021,46086385,Lawson Lovering, C ,7-0,220,Cheyenne Central,Cheyenne,WY,0.9783,59,8,1,colorado
2021,46057789,John Butler, C ,7-1,190,Christ Church Episcopal School,Greenville,SC,0.9776,60,9,2,florida state
2021,46056812,Dontrez Styles, SF ,6-7,205,Kinston,Kinston,NC,0.9768,61,11,2,north carolina
2021,46058515,Pierre Brooks, SF ,6-6,205,Douglass Academy,Detroit,MI,0.9768,62,12,3,michigan state
2021,46097669,Samson Johnson, C ,6-10,205,St. Patrick,Elizabeth,NJ,0.9766,63,10,1,uconn
2021,46085002,D'Marco Dunn, SG ,6-4,180,Westover,Fayetteville,NC,0.9765,64,14,3,north carolina
2021,46084344,Ernest Ross, PF ,6-9,210,Santa Fe,Alachua,FL,0.9764,65,14,11,north carolina state
2021,46056753,Roosevelt Wheeler, C ,6-10,220,John Marshall,Richmond,VA,0.9751,66,11,2,louisville
2021,46054284,Jerrell Colbert, C ,6-9,210,Houston,Germantown,TN,0.9751,67,12,1,lsu
2021,46083695,Jackson Grant, C ,6-9,205,Olympia,Olympia,WA,0.9746,68,13,3,washington
2021,46057565,KJ Adams, PF ,6-7,200,Westlake,Austin,TX,0.9741,69,15,5,kansas
2021,46049846,Trey Alexander, SG ,6-4,185,Heritage Hall,Oklahoma City,OK,0.9739,70,15,1,NULL
2021,46099270,Fanbo Zeng, PF ,6-9,190,Windermere Prep,Windermere,FL,0.9735,71,16,12,gonzaga
2021,46086194,Jakai Robinson, SF ,6-4,200,Rock Creek Christian Academy,Upper Marlboro,MD,0.9729,72,13,2,miami
2021,46085465,Logan Duncomb, C ,6-9,235,Archbishop Moeller,Cincinnati,OH,0.9728,73,14,2,indiana
2021,46093891,Michael James, SF ,6-6,195,Oak Ridge,Orlando,FL,0.9719,74,14,13,louisville
2021,46082135,Mason Miller, PF ,6-9,180,Houston,Germantown,TN,0.9714,75,17,2,creighton
2021,46085759,Julian Reese, PF ,6-9,230,St. Frances Academy,Owings Mills,MD,0.9714,76,18,3,maryland
2021,46048816,Ahamad Bynum, SG ,6-1,175,Simeon,Chicago,IL,0.9712,77,16,3,depaul
2021,46039620,Brandon Weston, SF ,6-5,195,Hillcrest Prep,Phoenix,AZ,0.9710,78,15,4,seton hall
2021,46080136,Quincy Allen, SF ,6-7,190,Maret School,Washington,DC,0.9699,79,16,1,colorado
2021,46057749,Shane Nowell, SG ,6-5,190,Eastside Catholic,Sammamish,WA,0.9691,80,17,4,arizona
2021,46057956,Malik Thomas, CG ,6-3,190,Damien,La Verne,CA,0.9690,81,5,5,usc
2021,46099741,Taine Murray, SG ,6-5,190,New Zealand,New Zealand,NEW,0.9675,82,18,1,virginia
2021,46079586,Terquavion Smith, SG ,6-3,180,Farmville Central,Farmville,NC,0.9669,83,19,4,north carolina state
