Year,ID,Player,POS,Rating,Team_Old,Team_New,Conference_Old,Conference_New
2020,46057830,Bryan Greenlee, PG ,0.8556,minnesota,san diego,Big Ten,West Coast
2020,45572620,Andrew Nembhard, PG ,0.9926,florida,gonzaga,SEC,West Coast
2020,37728,Alterique Gilbert, PG ,0.9882,uconn,wichita state,Big East,American Athletic
2020,46040438,DJ Carton, PG ,0.9880,ohio state,marquette,Big Ten,Big East
2020,84584,Chaundee Brown, SG ,0.9863,wake forest,michigan,ACC,Big Ten
2020,14137,Jalen Coleman-Lands, PG ,0.9859,depaul,iowa state,Big East,Big 12
2020,58848,Charles O'Bannon Jr., SG ,0.9837,usc,tcu,Pacific-12,Big 12
2020,86624,Elijah Weaver, PG ,0.9832,usc,dayton,Pacific-12,Atlantic 10
2020,86031,Jalen Carey, PG ,0.9788,syracuse,rhode island,ACC,Atlantic 10
2020,76739,Isaiah Washington, PG ,0.9753,iona,long beach state,MAAC,Big West
2020,46035894,Landers Nolley, SG ,0.9752,virginia tech,memphis,ACC,American Athletic
2020,89874,Alex O'Connell, SG ,0.9708,duke,creighton,ACC,Big East
2020,35511,Nojel Eastern, PG ,0.9706,purdue,howard,Big Ten,MEAC
2020,86036,Luther Muhammad, PG ,0.9704,ohio state,arizona state,Big Ten,Pacific-12
2020,84007,Darius Perry, PG ,0.9699,louisville,central florida,ACC,American Athletic
2020,48785,Eli Wright, SG ,0.9675,western kentucky,morgan state,Conference USA,MEAC
2020,93836,James Akinjo, PG ,0.9645,georgetown,arizona,Big East,Pacific-12
2020,78096,Trey McGowens, SG ,0.9635,pittsburgh,nebraska,ACC,Big Ten
2020,46047031,Brycen Goodine, SG ,0.9596,syracuse,providence,ACC,Big East
2020,45572677,Khalif Battle, CG ,0.9572,butler,temple,Big East,American Athletic
2020,94189,David DeJulius, PG ,0.9572,michigan,cincinnati,Big Ten,American Athletic
2020,38855,Bryce Aiken, PG ,0.9565,harvard,seton hall,Ivy,Big East
2020,46055645,Jaylen Forbes, SG ,0.9555,alabama,tulane,SEC,American Athletic
2020,91014,Tevian Jones, SG ,0.9423,illinois,southern utah,Big Ten,Big Sky
2020,46046837,Both Gach, SG ,0.9406,utah,minnesota,Pacific-12,Big Ten
2020,46036685,Elias Valtonen, SG ,0.9378,arizona state,NULL,Pacific-12,NULL
2020,46047686,Dahmir Bishop, CG ,0.9368,xavier,saint josephs,Big East,Atlantic 10
2020,85199,Tyler Harris, PG ,0.9364,memphis,iowa state,American Athletic,Big 12
2020,87234,Jordan Lathon, PG ,0.9360,utep,wisconsin milwaukee,Conference USA,Horizon
2020,46036221,Jamal Bieniemy, SG ,0.9294,oklahoma,utep,Big 12,Conference USA
2020,46057775,Issac McBride, PG ,0.9293,kansas,vanderbilt,Big 12,SEC
2020,46041221,Serrel Smith, CG ,0.9277,maryland,etsu,Big Ten,Southern
2020,45572888,Kyle Sturdivant, PG ,0.9274,usc,georgia tech,Pacific-12,ACC
