Year,ID,Player,POS,Rating,Team_Old,Team_New,Conference_Old,Conference_New
2021,91436,Tanner Mordecai, DUAL ,0.9092,oklahoma,smu,Big 12,American Athletic
2021,78624,McKenzie Milton, DUAL ,0.8362,central florida,florida state,American Athletic,ACC
2021,46053994,Ethan Garbers, PRO ,0.9475,washington,ucla,Pacific-12,Pacific-12
2021,81368,Jack Coan, PRO ,0.8714,wisconsin,notre dame,Big Ten,FBS Independents
2021,93478,Ryan Hilinski, PRO ,0.9695,south carolina,northwestern,SEC,Big Ten
2021,84631,Grant Gunnell, PRO ,0.8851,arizona,memphis,Pacific-12,American Athletic
2021,46039404,Tyler Shough, PRO ,0.9422,oregon,texas tech,Pacific-12,Big 12
2021,86604,Alan Bowman, PRO ,0.8568,texas tech,michigan,Big 12,Big Ten
2021,77456,Hendon Hooker, PRO ,0.8903,virginia tech,tennessee,ACC,SEC
2021,83435,Bailey Zappe, PRO ,NULL,houston baptist,western kentucky,Southland,Conference USA
2021,85231,N'Kosi Perry, DUAL ,0.9218,miami,florida atlantic,ACC,Conference USA
2021,89866,Joe Milton, PRO ,0.9202,michigan,tennessee,Big Ten,SEC
2021,37762,Bailey Hockman, PRO ,0.8725,north carolina state,middle tennessee state,ACC,Conference USA
2021,77367,Anthony Russo, PRO ,0.8584,temple,michigan state,American Athletic,Big Ten
2021,76511,Charlie Brewer, PRO ,0.8506,baylor,utah,Big 12,Pacific-12
2021,87600,Ja'Quinden Jackson, DUAL ,0.9664,texas,utah,Big 12,Pacific-12
2021,23846,Jarrett Guarantano, DUAL ,0.9628,tennessee,washington state,SEC,Pacific-12
2021,86454,Lance LeGendre, DUAL ,0.9036,maryland,louisiana,Big Ten,Sun Belt
2021,82439,D'Wan Mathis, PRO ,0.8992,georgia,temple,SEC,American Athletic
2021,93569,Jace Ruder, DUAL ,0.8957,north carolina,north texas,ACC,Conference USA
2021,46038038,Ty Evans, PRO ,0.8830,north carolina state,texas state,ACC,Sun Belt
2021,86423,Darriel Mack, DUAL ,0.8477,central florida,old dominion,American Athletic,Conference USA
2021,35591,Jack Abraham, PRO ,0.8237,southern mississippi,mississippi state,Conference USA,SEC
2021,67526,Jason Brown, PRO ,0.7832,saint francis,south carolina,Northeast,SEC
2021,83546,Jacob Sirmon, PRO ,0.9559,washington,central michigan,Pacific-12,Mid-American
2021,60967,Patrick O'Brien, PRO ,0.9189,colorado state,washington,Mountain West,Pacific-12
2021,46038605,Garrett Shrader, DUAL ,0.9106,mississippi state,syracuse,SEC,ACC
2021,46036668,Luke McCaffrey, DUAL ,0.9070,nebraska,louisville,Big Ten,ACC
2021,32264,Jake Bentley, PRO ,0.9068,utah,south alabama,Pacific-12,Sun Belt
2021,86492,James Foster, DUAL ,0.9055,texas am,charlotte,SEC,Conference USA
2021,46043259,Peter Parrish, DUAL ,0.8988,lsu,memphis,SEC,American Athletic
