Year,ID,Player,POS,Rating,Team_Old,Team_New,Conference_Old,Conference_New
2019,91195,Quentin Grimes, SG ,0.9967,kansas,houston,Big 12,American Athletic
2019,21542,Derryck Thornton, PG ,0.9947,usc,boston college,Pacific-12,ACC
2019,36136,Quade Green, PG ,0.9907,kentucky,washington,SEC,Pacific-12
2019,85007,Jahvon Quinerly, PG ,0.9901,villanova,alabama,Big East,SEC
2019,46035371,Kira Lewis, PG ,0.9865,alabama,alabama,SEC,SEC
2019,59389,Makai Ashton-Langford, PG ,0.9848,providence,boston college,Big East,ACC
2019,22013,DJ Harvey, SG ,0.9817,notre dame,vanderbilt,ACC,SEC
2019,22511,Seventh Woods, PG ,0.9814,north carolina,south carolina,ACC,SEC
2019,31927,Chris Clarke, SG ,0.9765,virginia tech,texas tech,ACC,Big 12
2019,76739,Isaiah Washington, PG ,0.9753,minnesota,iona,Big Ten,MAAC
2019,32136,Jimmy Whitt, PG ,0.9744,smu,arkansas,American Athletic,SEC
2019,34121,Jaylen Fisher, PG ,0.9738,tcu,NULL,Big 12,NULL
2019,46042929,Devonaire Doutrive, SG ,0.9732,arizona,boise state,Pacific-12,Mountain West
2019,75344,Charlie Moore, PG ,0.9727,kansas,depaul,Big 12,Big East
2019,85349,Wabissa Bede, PG ,0.9703,virginia tech,virginia tech,ACC,ACC
2019,24281,Haanif Cheatham, SG ,0.9695,florida gulf coast,nebraska,Atlantic Sun,Big Ten
2019,85031,Jemarl Baker, SG ,0.9690,kentucky,arizona,SEC,Pacific-12
2019,48785,Eli Wright, SG ,0.9675,saint johns,western kentucky,Big East,Conference USA
2019,46035582,Dalano Banton, PG ,0.9641,western kentucky,nebraska,Conference USA,Big Ten
2019,78186,Alex Barcello, PG ,0.9592,arizona,byu,Pacific-12,West Coast
2019,30823,Curtis Jones, SG ,0.9579,oklahoma state,penn state,Big 12,Big Ten
2019,63454,Victor Bailey, PG ,0.9578,oregon,tennessee,Pacific-12,SEC
2019,84365,Antwann Jones, SG ,0.9575,memphis,creighton,American Athletic,Big East
