Year,Player,POS,Rating,Team_Old,Team_New,Conference_Old,Conference_New
2020,Bryan Greenlee, PG ,0.8556,minnesota,san diego,Big Ten,West Coast
2020,Andrew Nembhard, PG ,0.9926,florida,gonzaga,SEC,West Coast
2020,Alterique Gilbert, PG ,0.9882,uconn,wichita state,Big East,American Athletic
2020,DJ Carton, PG ,0.9880,ohio state,marquette,Big Ten,Big East
2020,Chaundee Brown, SG ,0.9863,wake forest,michigan,ACC,Big Ten
2020,Jalen Coleman-Lands, PG ,0.9859,depaul,iowa state,Big East,Big 12
2020,Charles O'Bannon Jr., SG ,0.9837,usc,tcu,Pacific-12,Big 12
2020,Elijah Weaver, PG ,0.9832,usc,dayton,Pacific-12,Atlantic 10
2020,Jalen Carey, PG ,0.9788,syracuse,rhode island,ACC,Atlantic 10
2020,Isaiah Washington, PG ,0.9753,iona,long beach state,MAAC,Big West
2020,Landers Nolley, SG ,0.9752,virginia tech,memphis,ACC,American Athletic
2020,Alex O'Connell, SG ,0.9708,duke,creighton,ACC,Big East
2020,Nojel Eastern, PG ,0.9706,purdue,howard,Big Ten,MEAC
2020,Luther Muhammad, PG ,0.9704,ohio state,arizona state,Big Ten,Pacific-12
2020,Darius Perry, PG ,0.9699,louisville,central florida,ACC,American Athletic
2020,Eli Wright, SG ,0.9675,western kentucky,morgan state,Conference USA,MEAC
2020,James Akinjo, PG ,0.9645,georgetown,arizona,Big East,Pacific-12
2020,Trey McGowens, SG ,0.9635,pittsburgh,nebraska,ACC,Big Ten
2020,Brycen Goodine, SG ,0.9596,syracuse,providence,ACC,Big East
2020,Khalif Battle, CG ,0.9572,butler,temple,Big East,American Athletic
2020,David DeJulius, PG ,0.9572,michigan,cincinnati,Big Ten,American Athletic
2020,Bryce Aiken, PG ,0.9565,harvard,seton hall,Ivy,Big East
2020,Jaylen Forbes, SG ,0.9555,alabama,tulane,SEC,American Athletic
2020,Tevian Jones, SG ,0.9423,illinois,southern utah,Big Ten,Big Sky
2020,Both Gach, SG ,0.9406,utah,minnesota,Pacific-12,Big Ten
2020,Elias Valtonen, SG ,0.9378,arizona state,null,Pacific-12,NULL
2020,Dahmir Bishop, CG ,0.9368,xavier,saint josephs,Big East,Atlantic 10
2020,Tyler Harris, PG ,0.9364,memphis,iowa state,American Athletic,Big 12
2020,Jordan Lathon, PG ,0.9360,utep,wisconsin milwaukee,Conference USA,Horizon
2020,Jamal Bieniemy, SG ,0.9294,oklahoma,utep,Big 12,Conference USA
2020,Issac McBride, PG ,0.9293,kansas,vanderbilt,Big 12,SEC
2020,Serrel Smith, CG ,0.9277,maryland,etsu,Big Ten,Southern
2020,Kyle Sturdivant, PG ,0.9274,usc,georgia tech,Pacific-12,ACC
2020,Blake Harris, PG ,0.9266,north carolina state,ncat,ACC,MEAC
2020,James Bishop, PG ,0.9244,lsu,george washington,SEC,Atlantic 10
2020,Jakolby Long, SG ,0.9240,southern utah,southern illinois,Big Sky,Missouri Valley
2020,Joshua Pierre-Louis, PG ,0.9213,temple,uc santa barbara,American Athletic,Big West
2020,Grant Sherfield, CG ,0.9206,wichita state,nevada,American Athletic,Mountain West
2020,Elias Harden, SG ,0.9187,jacksonville state,null,Ohio Valley,NULL
2020,Flynn Cameron, PG ,0.9173,depaul,uc riverside,Big East,Big West
2020,Caleb Grill, PG ,0.9111,iowa state,unlv,Big 12,Mountain West
2020,Jeremiah Francis, PG ,0.9067,north carolina,new mexico,ACC,Mountain West
2020,Alan Griffin, SG ,0.9038,illinois,syracuse,Big Ten,ACC
2020,TJ Starks, PG ,0.9012,texas am,cal state northridge,SEC,Big West
2020,Shawn Olden, CG ,0.9000,tcu,texas southern,Big 12,SWAC
2020,Payton Willis, CG ,0.8999,minnesota,cofc,Big Ten,NULL
2020,Samari Curtis, SG ,0.8971,nebraska,evansville,Big Ten,Missouri Valley
2020,Elijah Hardy, PG ,0.8948,washington,portland state,Pacific-12,Big Sky
2020,Anthony Nelson, PG ,0.8930,seton hall,manhattan,Big East,MAAC
2020,Darius Banks, PG ,0.8894,james madison,chattanooga,CAA,Southern
2020,Tyrese Martin, SG ,0.8880,rhode island,uconn,Atlantic 10,Big East
2020,Shaun Williams, PG ,0.8862,kansas state,cal state bakersfield,Big 12,WAC
2020,Noah Fernandes, PG ,0.8861,wichita state,massachusetts,American Athletic,Atlantic 10
2020,Erik Stevenson, SG ,0.8856,wichita state,washington,American Athletic,Pacific-12
2020,Mac McClung, PG ,0.8820,georgetown,texas tech,Big East,Big 12
2020,Kobe King, SG ,0.8820,wisconsin,null,Big Ten,NULL
2020,Javon Freeman-Liberty, SG ,0.8813,valparaiso,depaul,Missouri Valley,Big East
2020,Qon Murphy, SG ,0.8813,houston baptist,new hampshire,Southland,America East
2020,Eric Parrish, SG ,0.8800,nevada,utsa,Mountain West,Conference USA
2020,Jonah Antonio, SG ,0.8800,unlv,wake forest,Mountain West,ACC
2020,Brandon Knapper, PG ,0.8780,west virginia,eastern kentucky,Big 12,Ohio Valley
2020,Sharone Wright Jr., PG ,0.8743,wake forest,null,ACC,NULL
2020,Amauri Hardy, PG ,0.8740,unlv,oregon,Mountain West,Pacific-12
2020,Julian Rishwain, SG ,0.8715,boston college,null,ACC,NULL
2020,Frankie Hughes, PG ,0.8709,duquesne,san diego,Atlantic 10,West Coast
2020,Bryce Williams, SG ,0.8678,ole miss,oklahoma state,SEC,Big 12
2020,Zach Scott, PG ,0.8678,florida gulf coast,mcneese state,Atlantic Sun,Southland
2020,Jalen Windham, SG ,0.8678,creighton,ball state,Big East,Mid-American
2020,Devin Butts, CG ,0.8678,mississippi state,louisiana,SEC,Sun Belt
2020,Cameron Mack, PG ,0.8628,nebraska,null,Big Ten,NULL
2020,Isiah Brown, PG ,0.8628,weber state,null,Big Sky,NULL
2020,Isaac White, PG ,0.8628,stanford,null,Pacific-12,NULL
2020,Howard Washington, PG ,0.8616,syracuse,null,ACC,NULL
2020,Ishmael El-Amin, PG ,0.8616,ball state,null,Mid-American,NULL
2020,Keishawn Brewton, CG ,0.8600,coastal carolina,buffalo,Sun Belt,Mid-American
2020,Jarred Hyder, CG ,0.8600,fresno state,california,Mountain West,Pacific-12
2020,Daylen Kountz, CG ,0.8573,colorado,northern colorado,Pacific-12,Big Sky
2020,Trey Wertz, SG ,0.8559,notre dame,null,ACC,NULL
2020,Jamarius Burton, CG ,0.8556,wichita state,texas tech,American Athletic,Big 12
2020,Trevor Moore, SG ,0.8556,cincinnati,morgan state,American Athletic,MEAC
2020,Marquis Godwin, SG ,0.8522,old dominion,hampton,Conference USA,MEAC
2020,Jaizec Lottie, PG ,0.8510,arkansas little rock,null,Sun Belt,NULL
2020,Zach Chappell, PG ,0.8500,san jose state,sacramento state,Mountain West,Big Sky
2020,Jake Wojcik, SG ,0.8500,richmond,fairfield,Atlantic 10,MAAC
2020,Luis Hurtado, PG ,0.8496,alabama birmingham,bryant,Conference USA,Northeast
2020,Ray Salnave, CG ,0.8435,monmouth,depaul,MAAC,Big East
2020,Keon Clergeot, PG ,0.8435,massachusetts,southeastern louisiana,Atlantic 10,Southland
2020,Elijah Thomas, SG ,0.8432,st marys,null,West Coast,NULL
2020,Jalen Crutchfield, SG ,0.8400,stetson,null,Atlantic Sun,NULL
2020,Jair Bolden, CG ,0.8385,south carolina,butler,SEC,Big East
2020,Devin Gage, PG ,0.8385,depaul,fresno state,Big East,Mountain West
2020,Jalen Harris, PG ,0.8360,arkansas,georgetown,SEC,Big East
2020,Ryan Murphy, SG ,0.8356,pittsburgh,tulane,ACC,American Athletic
2020,Ikenna Ndugba, PG ,0.8333,bryant,elon,Northeast,CAA
2020,Drew Buggs, PG ,0.8333,hawaii,missouri,Big West,SEC
2020,Terrell Gomez, PG ,0.8333,cal state northridge,san diego state,Big West,Mountain West
2020,Nigel Hawkins, SG ,0.8300,utep,sfasu,Conference USA,Southland
2020,David Sloan, PG ,0.8278,kansas state,etsu,Big 12,Southern
2020,Logan Curtis, SG ,0.8278,east carolina,delaware,American Athletic,CAA
2020,Asanti Price, SG ,0.8278,georgia tech,null,ACC,NULL
2020,Davion Mintz, PG ,0.8218,creighton,kentucky,Big East,SEC
2020,Dimencio Vaughn, SG ,0.8212,rider,ole miss,MAAC,SEC
2020,Tahj Eaddy, SG ,0.8162,usc,null,Pacific-12,NULL
2020,Quinn Richey, SG ,0.8005,james madison,null,CAA,NULL
2020,Justin Thomas, PG ,0.7667,morehead state,null,Ohio Valley,NULL
2020,Kobe Webster, PG ,0.7667,western illinois,nebraska,Summit,Big Ten
2020,Quan Jackson, PG ,0.7000,georgia southern,alabama birmingham,Sun Belt,Conference USA
2020,Tavian Percy, SG ,0.7000,new mexico,weber state,Mountain West,Big Sky
2020,Darian Adams, SG ,NULL,troy,jacksonville state,Sun Belt,Ohio Valley
2020,Christian Agnew, PG ,NULL,utep,null,Conference USA,NULL
2020,Ahmed Ali, PG ,NULL,hawaii,portland,Big West,West Coast
2020,Quin Barnard, PG ,NULL,washington,null,Pacific-12,NULL
2020,Allen Betrand, SG ,NULL,towson,rhode island,CAA,Atlantic 10
2020,Jordan Brinson, CG ,NULL,alabama birmingham,utah valley,Conference USA,WAC
2020,Terrell Brown Jr., SG ,NULL,seattle,arizona,WAC,Pacific-12
2020,Zack Bryant, PG ,NULL,alabama birmingham,georgia southern,Conference USA,Sun Belt
2020,Dachon Burke, SG ,NULL,nebraska,south alabama,Big Ten,Sun Belt
2020,Mark Carbone, SG ,NULL,new hampshire,null,America East,NULL
2020,Jalen Cincore, SG ,NULL,georgia southern,null,Sun Belt,NULL
2020,Brian Coffey, PG ,NULL,north florida,middle tennessee state,Atlantic Sun,Conference USA
2020,Derrick Cook, SG ,NULL,jacksonville state,null,Ohio Valley,NULL
2020,Jason Crandall, CG ,NULL,washington,null,Pacific-12,NULL
2020,Karrington Davis, SG ,NULL,southern illinois,null,Missouri Valley,NULL
2020,Jason Douglas-Stanley, SG ,NULL,george mason,null,Atlantic 10,NULL
2020,Sean East, PG ,NULL,massachusetts,bradley,Atlantic 10,Missouri Valley
2020,Augustine Ene, SG ,NULL,uiw,null,Southland,NULL
2020,Michael Ertel, PG ,NULL,louisiana monroe,alabama birmingham,Sun Belt,Conference USA
2020,Aaron Estrada, SG ,NULL,saint peters,oregon,MAAC,Pacific-12
2020,Ferron Flavors, SG ,NULL,oklahoma state,null,Big 12,NULL
2020,Michael Flowers, SG ,NULL,western michigan,south alabama,Mid-American,Sun Belt
2020,Stephan Gabriel, SG ,NULL,bradley,null,Missouri Valley,NULL
2020,Andrew Garcia, SG ,NULL,stony brook,georgia,America East,SEC
2020,Umoja Gibson, PG ,NULL,north texas,oklahoma,Conference USA,Big 12
2020,Ty Gordon, PG ,NULL,troy,null,Sun Belt,NULL
2020,Jacob Grandison, SG ,NULL,holy cross,illinois,Patriot League,Big Ten
2020,Jay Green, PG ,NULL,unlv,null,Mountain West,NULL
2020,Elijah Harkless, PG ,NULL,cal state northridge,oklahoma,Big West,Big 12
2020,Chris Herren Jr., SG ,NULL,boston college,san diego,ACC,West Coast
2020,Bo Hodges, PG ,NULL,etsu,butler,Southern,Big East
2020,Curtis Holland III, SG ,NULL,high point,towson,Big South,CAA
2020,Cameron Hunter, PG ,NULL,north dakota state,null,Summit,NULL
2020,Austin Hutcherson, SG ,NULL,illinois,null,Big Ten,NULL
2020,Christian Jackson, SG ,NULL,massachusetts,null,Atlantic 10,NULL
2020,Nate Johnson, SG ,NULL,gardner webb,xavier,Big South,Big East
2020,Kevin Johnson, PG ,NULL,nicholls state,null,Southland,NULL
2020,Chase Johnston, SG ,NULL,ipfw,null,Summit,NULL
2020,Carlik Jones, PG ,NULL,radford,louisville,Big South,ACC
2020,Elijah Jordan, PG ,NULL,new hampshire,null,America East,NULL
2020,Dave Kasanganay, SG ,NULL,navy,east carolina,Patriot League,American Athletic
2020,Rich Kelly, PG ,NULL,quinnipiac,boston college,MAAC,ACC
2020,Justin Kier, SG ,NULL,george mason,georgia,Atlantic 10,SEC
2020,Teyvion Kirk, SG ,NULL,colorado state,uic,Mountain West,Horizon
2020,Peter Kiss, PG ,NULL,rutgers,bryant,Big Ten,Northeast
2020,Lucas Kroft, SG ,NULL,ball state,null,Mid-American,NULL
2020,Adam Kunkel, SG ,NULL,belmont,xavier,Ohio Valley,Big East
2020,Joseph Lanzi, SG ,NULL,denver,cofc,Summit,NULL
2020,Kurk Lee, PG ,NULL,drexel,null,CAA,NULL
2020,Drew Lowder, PG ,NULL,holy cross,eastern michigan,Patriot League,Mid-American
2020,Traveon Maddox Jr., SG ,NULL,oakland,cal state fullerton,Horizon,Big West
2020,Richardson Maitre, PG ,NULL,florida atlantic,samford,Conference USA,Southern
2020,Chris Martin, PG ,NULL,presbyterian,coppin state,Big South,MEAC
2020,Malik Martin, CG ,NULL,charlotte,rhode island,Conference USA,Atlantic 10
2020,Avery Martinez, SG ,NULL,cal state northridge,null,Big West,NULL
2020,Courvoisier McCauley, SG ,NULL,depaul,null,Big East,NULL
2020,Mario McKinney, SG ,NULL,missouri,null,SEC,NULL
2020,Randy Miller, PG ,NULL,nccu,indiana state,MEAC,Missouri Valley
2020,Franco Miller Jr., PG ,NULL,ole miss,florida gulf coast,SEC,Atlantic Sun
2020,Charles Minlend, PG ,NULL,louisville,null,ACC,NULL
2020,Donavan Moore, SG ,NULL,toledo,null,Mid-American,NULL
2020,Vado Morse, PG ,NULL,mount st marys,james madison,Northeast,CAA
2020,Trey Murphy, SG ,NULL,rice,virginia,Conference USA,ACC
2020,Dwight Murray Jr., PG ,NULL,uiw,rider,Southland,MAAC
2020,Ja'Cor Nelson, SG ,NULL,campbell,null,Big South,NULL
2020,Elijah Olaniyi, CG ,NULL,stony brook,miami,America East,ACC
2020,Myles Parker, SG ,NULL,auburn,montana,SEC,Big Sky
2020,Deshon Parker, SG ,NULL,james madison,appalachian state,CAA,Sun Belt
2020,Brian Patrick, SG ,NULL,depaul,null,Big East,NULL
2020,Jose Perez, SG ,NULL,gardner webb,marquette,Big South,Big East
2020,Abel Porter, PG ,NULL,utah state,ohio state,Mountain West,Big Ten
2020,Joe Pridgen, SG ,NULL,holy cross,uncw,Patriot League,CAA
2020,Trevon Reddish, SG ,NULL,cofc,null,NULL,NULL
2020,Cooper Robb, PG ,NULL,charlotte,eastern kentucky,Conference USA,Ohio Valley
2020,Anthony Roberts, SG ,NULL,kent state,saint bonaventure,Mid-American,Atlantic 10
2020,Jacoby Ross, PG ,NULL,alabama state,alcorn state,SWAC,SWAC
2020,Monty Scott, SG ,NULL,temple,portland state,American Athletic,Big Sky
2020,Sam Sessoms, PG ,NULL,binghamton,penn state,America East,Big Ten
2020,Kody Shubert, PG ,NULL,presbyterian,null,Big South,NULL
2020,Nike Sibande, SG ,NULL,miami ohio,pittsburgh,Mid-American,ACC
2020,Kevin Simon, PG ,NULL,troy,bethune cookman,Sun Belt,MEAC
2020,Mike Smith, PG ,NULL,columbia,michigan,Ivy,Big Ten
2020,Carter Sonneborn, SG ,NULL,washington state,null,Pacific-12,NULL
2020,Caleb Starks, PG ,NULL,lsu,null,SEC,NULL
2020,Jalen Tate, SG ,NULL,northern kentucky,arkansas,Horizon,SEC
2020,Morgan Taylor, SG ,NULL,uiw,null,Southland,NULL
2020,Calvin Temple, PG ,NULL,louisiana,jackson state,Sun Belt,SWAC
2020,JC Tharrington, PG ,NULL,appalachian state,null,Sun Belt,NULL
2020,DeAndre Thomas, PG ,NULL,samford,mount st marys,Southern,Northeast
2020,Justin Turner, SG ,NULL,bowling green,null,Mid-American,NULL
2020,A.J. Walker, SG ,NULL,air force,null,Mountain West,NULL
2020,Gabe Watson, CG ,NULL,southern mississippi,tulane,Conference USA,American Athletic
2020,Grant Weatherford, SG ,NULL,iupui,georgia southern,Summit,Sun Belt
2020,Curtis White, SG ,NULL,smu,arkansas little rock,American Athletic,Sun Belt
2020,Isaiah White, SG ,NULL,utah valley,usc,WAC,Pacific-12
2020,Ibn Williams, PG ,NULL,coppin state,null,MEAC,NULL
2020,Daivien Williamson, PG ,NULL,etsu,wake forest,Southern,ACC
2020,Calvin Wishart, PG ,NULL,georgia southern,uc santa barbara,Sun Belt,Big West
2020,Holland Woods, PG ,NULL,portland state,arizona state,Big Sky,Pacific-12
2020,Kahlil Whitney, SF ,0.9957,kentucky,null,SEC,NULL
2020,CJ Walker, PF ,0.9903,oregon,central florida,Pacific-12,American Athletic
2020,Johnny Juzang, SF ,0.9885,kentucky,ucla,SEC,Pacific-12
2020,Shareef O'Neal, PF ,0.9850,ucla,lsu,Pacific-12,SEC
2020,Khavon Moore, SF ,0.9811,clemson,null,ACC,NULL
2020,Alonzo Gaffney, SF ,0.9805,ohio state,null,Big Ten,NULL
2020,Matthew Moyer, PF ,0.9750,vanderbilt,george washington,SEC,Atlantic 10
2020,Carte'Are Gordon, PF ,0.9731,depaul,null,Big East,NULL
2020,Jairus Hamilton, SF ,0.9728,boston college,maryland,ACC,Big Ten
2020,Taurean Thompson, SF ,0.9711,seton hall,detroit,Big East,Horizon
2020,Vance Jackson, SF ,0.9699,new mexico,arkansas,Mountain West,SEC
2020,D.J. Williams, SF ,0.9691,george washington,depaul,Atlantic 10,Big East
2020,Tray Jackson, PF ,0.9673,missouri,seton hall,SEC,Big East
2020,Marcus Watson, SF ,0.9658,oklahoma state,new mexico,Big 12,Mountain West
2020,Kaden Archie, SF ,0.9645,utep,georgia southern,Conference USA,Sun Belt
2020,Justin Smith, PF ,0.9636,indiana,arkansas,Big Ten,SEC
2020,Sidney Wilson, SF ,0.9524,uconn,siue,Big East,Ohio Valley
2020,Amanze Ngumezi, PF ,0.9518,georgia,jacksonville state,SEC,Ohio Valley
2020,Kodye Pugh, SF ,0.9483,stanford,null,Pacific-12,NULL
2020,Cole Bajema, SF ,0.9443,michigan,washington,Big Ten,Pacific-12
2020,Josh LeBlanc, SF ,0.9398,georgetown,lsu,Big East,SEC
2020,Damezi Anderson, SF ,0.9383,indiana,loyola,Big Ten,Missouri Valley
2020,Zion Griffin, SF ,0.9382,iowa state,uic,Big 12,Horizon
2020,Elias King, SF ,0.9357,mississippi state,middle tennessee state,SEC,Conference USA
2020,Ian Steere, PF ,0.9339,saint johns,uncw,Big East,CAA
2020,Blake Hinson, SF ,0.9299,ole miss,iowa state,SEC,Big 12
2020,Jacobi Gordon, SF ,0.9290,california,louisiana,Pacific-12,Sun Belt
2020,Terrence Lewis, SF ,0.9287,iowa state,south alabama,Big 12,Sun Belt
