Year,Player,POS,Rating,Team_Old,Team_New,Conference_Old,Conference_New
2020,JT Daniels, PRO ,0.9919,usc,georgia,Pacific-12,SEC
2020,KJ Costello, PRO ,0.9749,stanford,mississippi state,Pacific-12,SEC
2020,Jamie Newman, DUAL ,0.8585,wake forest,georgia,ACC,SEC
2020,D'Eriq King, DUAL ,0.8810,houston,miami,American Athletic,ACC
2020,Keytaon Thompson, DUAL ,0.9258,mississippi state,virginia,SEC,ACC
2020,Feleipe Franks, PRO ,0.9732,florida,arkansas,SEC,SEC
2020,Joey Gatewood, DUAL ,0.9759,auburn,kentucky,SEC,SEC
2020,Taulia Tagovailoa, PRO ,0.9269,alabama,maryland,SEC,Big Ten
2020,Chase Brice, DUAL ,0.8818,clemson,duke,ACC,ACC
2020,Anthony Brown, DUAL ,0.8517,boston college,oregon,ACC,Pacific-12
2020,Collin Hill, PRO ,0.8497,colorado state,south carolina,Mountain West,SEC
2020,Peyton Ramsey, DUAL ,0.8386,indiana,northwestern,Big Ten,Big Ten
2020,Justin Rogers, DUAL ,0.9772,tcu,unlv,Big 12,Mountain West
2020,Jake Bentley, PRO ,0.9068,south carolina,utah,SEC,Pacific-12
2020,Peyton Powell, DUAL ,0.9060,baylor,rutgers,Big 12,Big Ten
2020,Joey Yellen, PRO ,0.9023,arizona state,pittsburgh,Pacific-12,ACC
2020,Phil Jurkovec, DUAL ,0.9593,notre dame,boston college,FBS Independents,ACC
2020,Jarren Williams, DUAL ,0.8614,miami,null,ACC,NULL
2020,Jack Sears, PRO ,0.9516,usc,boise state,Pacific-12,Mountain West
2020,Austin Burton, PRO ,0.8144,ucla,purdue,Pacific-12,Big Ten
2020,Allan Walters, PRO ,0.8784,vanderbilt,mississippi state,SEC,SEC
2020,Chris Ferguson, PRO ,0.6997,maine,liberty,CAA,FBS Independents
2020,Jack Allison, PRO ,0.9264,west virginia,null,Big 12,NULL
2020,Dillon Sterling-Cole, DUAL ,0.8923,arizona state,null,Pacific-12,NULL
2020,Michael Johnson Jr., DUAL ,0.8905,penn state,florida atlantic,Big Ten,Conference USA
2020,Artur Sitkowski, PRO ,0.8881,rutgers,rutgers,Big Ten,Big Ten
2020,Daulton Hyatt, PRO ,0.8774,arkansas,null,SEC,NULL
2020,Lindsey Scott, PRO ,0.8764,missouri,nicholls state,SEC,Southland
2020,Brendan Costello, DUAL ,0.8755,oklahoma state,null,Big 12,NULL
2020,Jett Duffey, DUAL ,0.8726,texas tech,hampton,Big 12,MEAC
2020,Trey Lowe III, DUAL ,0.8719,west virginia,southern mississippi,Big 12,Conference USA
2020,Jaden Johnson, PRO ,0.8710,southern mississippi,missouri state,Conference USA,Missouri Valley
2020,Judd Erickson, PRO ,0.8688,colorado state,null,Mountain West,NULL
2020,Cade Fortin, PRO ,0.8676,north carolina,south florida,ACC,American Athletic
2020,Nick Starkel, PRO ,0.8671,arkansas,san jose state,SEC,Mountain West
2020,Deuce Wallace, PRO ,0.8640,vanderbilt,null,SEC,NULL
2020,John Holcombe, DUAL ,0.8631,kansas state,famu,Big 12,MEAC
2020,Blake Stenstrom, PRO ,0.8609,colorado,princeton,Pacific-12,Ivy
2020,Jake Haener, PRO ,0.8599,washington,fresno state,Pacific-12,Mountain West
2020,Armani Rogers, PRO ,0.8596,unlv,ohio,Mountain West,Mid-American
2020,Peyton Mansell, PRO ,0.8580,iowa,null,Big Ten,NULL
2020,Matt McKay, PRO ,0.8560,north carolina state,montana state,ACC,Big Sky
2020,Sam Noyer, DUAL ,0.8534,colorado,colorado,Pacific-12,Pacific-12
2020,Jason Shelley, DUAL ,0.8518,utah,utah state,Pacific-12,Mountain West
2020,Re-al Mitchell, DUAL ,0.8514,iowa state,temple,Big 12,American Athletic
2020,Todd Centeio, DUAL ,0.8478,temple,colorado state,American Athletic,Mountain West
2020,Sam Saxton, PRO ,0.8477,texas,sfasu,Big 12,Southland
2020,Amani Gilmore, DUAL ,0.8464,kentucky,north texas,SEC,Conference USA
2020,Walker Wood, DUAL ,0.8452,kentucky,mcneese state,SEC,Southland
2020,Travis Mumphrey, DUAL ,0.8438,unlv,null,Mountain West,NULL
2020,Tyrrell Pigrome, DUAL ,0.8429,maryland,western kentucky,Big Ten,Conference USA
2020,Ty Brock, PRO ,0.8355,sam houston state,central michigan,Southland,Mid-American
2020,Randall Johnson, DUAL ,0.8353,middle tennessee state,weber state,Conference USA,Big Sky
2020,Henry Colombi, PRO ,0.8349,utah state,texas tech,Mountain West,Big 12
2020,Tayvon Bowers, DUAL ,0.8347,wake forest,gardner webb,ACC,Big South
2020,Kaymen Cureton, PRO ,0.8337,nevada,eastern kentucky,Mountain West,Ohio Valley
2020,Reid Herring, PRO ,0.8334,east carolina,null,American Athletic,NULL
2020,Austin Kirksey, PRO ,0.8314,nevada,georgia,Mountain West,SEC
2020,Tyler Vander Waal, PRO ,0.8288,wyoming,idaho state,Mountain West,Big Sky
2020,Lucas Johnson, DUAL ,0.8272,georgia tech,san diego state,ACC,Mountain West
2020,Maurice Underwood, PRO ,0.8227,marshall,null,Conference USA,NULL
2020,Blaze McKibbin, PRO ,0.8199,fresno state,null,Mountain West,NULL
2020,Mariano Valenti, DUAL ,0.8185,northern illinois,temple,Mid-American,American Athletic
2020,Josh Adkins, PRO ,0.8147,new mexico state,utsa,FBS Independents,Conference USA
2020,Cross Wilkinson, PRO ,0.8143,toledo,lehigh,Mid-American,Patriot League
2020,Jordan Cooper, DUAL ,0.8115,houston,null,American Athletic,NULL
2020,Max Bortenschlager, PRO ,0.8113,maryland,florida international,Big Ten,Conference USA
2020,Jack Richardson, PRO ,0.8111,stanford,null,Pacific-12,NULL
2020,Zach Daniel, PRO ,0.8104,hawaii,texas am,Mountain West,SEC
2020,Jackson Williamson, PRO ,0.8065,miami ohio,null,Mid-American,NULL
2020,Caylin Newton, DUAL ,0.8065,howard,auburn,MEAC,SEC
2020,Kolbe Langhi, PRO ,0.8065,kentucky,null,SEC,NULL
2020,Noah Vedral, DUAL ,0.8056,nebraska,rutgers,Big Ten,Big Ten
2020,Jeremy Hodge, DUAL ,0.8046,new mexico state,null,FBS Independents,NULL
2020,Rodney Hall, DUAL ,0.8005,northern illinois,null,Mid-American,NULL
2020,George Pearson, PRO ,0.8004,central michigan,null,Mid-American,NULL
2020,Gavin Screws, PRO ,0.8004,troy,null,Sun Belt,NULL
2020,Marcelo Rodriguez, PRO ,0.7990,southern mississippi,null,Conference USA,NULL
2020,Augie DeBiase, PRO ,0.7965,south florida,null,American Athletic,NULL
2020,Gresch Jensen, PRO ,0.7955,texas state,null,Sun Belt,NULL
2020,Cedric Case, PRO ,0.7942,texas state,null,Sun Belt,NULL
2020,Mylik Mitchell, DUAL ,0.7932,kent state,null,Mid-American,NULL
2020,Anthony Thompson, PRO ,0.7924,northern illinois,indiana state,Mid-American,Missouri Valley
2020,Joe Mischler, DUAL ,0.7898,ohio,duquesne,Mid-American,Northeast
2020,Joe Green, PRO ,0.7882,san diego state,null,Mountain West,NULL
2020,Cephus Johnson, DUAL ,0.7857,south alabama,null,Sun Belt,NULL
2020,Kaden Frost, PRO ,0.7853,south florida,null,American Athletic,NULL
2020,Alex Ramart, PRO ,0.7850,akron,null,Mid-American,NULL
2020,Steven Duncan, PRO ,0.7843,western kentucky,null,Conference USA,NULL
2020,Quadry Jones, DUAL ,0.7742,central florida,null,American Athletic,NULL
2020,Malik Tyson, PRO ,0.7731,florida international,null,Conference USA,NULL
2020,Jaalon Frazier, DUAL ,0.7731,georgia southern,wagner,Sun Belt,Northeast
2020,Kevin Thomson, PRO ,0.7716,sacramento state,washington,Big Sky,Pacific-12
2020,Luke Anthony, DUAL ,0.7692,louisiana tech,null,Conference USA,NULL
2020,Brayden Hawkins, PRO ,0.7681,louisiana,akron,Sun Belt,Mid-American
2020,Michael Collins, PRO ,0.7667,tcu,rice,Big 12,Conference USA
2020,Joe Critchlow, PRO ,0.7598,byu,null,FBS Independents,NULL
2020,Christian Perez, DUAL ,0.7552,louisville,semo,ACC,Ohio Valley
2020,John Bledsoe, PRO ,0.7480,washington state,san diego,Pacific-12,Pioneer
2020,Michael Beaudry, PRO ,NULL,uconn,idaho,FBS Independents,Big Sky
2020,Andrew Bunch, DUAL ,NULL,nebraska,semo,Big Ten,Ohio Valley
2020,Logan Burnett, PRO ,NULL,mississippi state,alabama,SEC,SEC
2020,Brian Clarkin, DUAL ,NULL,maryland,null,Big Ten,NULL
2020,Nick Demchuk, PRO ,NULL,akron,null,Mid-American,NULL
2020,Jonah Fitzgerald, PRO ,NULL,old dominion,norfolk state,Conference USA,MEAC
2020,Zach Gwynn, PRO ,NULL,east carolina,delaware,American Athletic,CAA
2020,Mo Hasan, PRO ,NULL,vanderbilt,usc,SEC,Pacific-12
2020,Will Heckman, PRO ,NULL,new mexico,washington state,Mountain West,Pacific-12
2020,Chris Helbig, PRO ,NULL,southern utah,eastern michigan,Big Sky,Mid-American
2020,Chris Herron, DUAL ,NULL,kansas state,null,Big 12,NULL
2020,Noah Johnson, DUAL ,NULL,alcorn state,south florida,SWAC,American Athletic
2020,Beau Kalbacher, PRO ,NULL,louisiana,null,Sun Belt,NULL
2020,Cole Kosco, PRO ,NULL,cincinnati,null,American Athletic,NULL
2020,Grant Loy, DUAL ,NULL,bowling green,auburn,Mid-American,SEC
2020,Billy Maples, PRO ,NULL,kansas,drake,Big 12,Pioneer
2020,Jack Newman, PRO ,NULL,california,null,Pacific-12,NULL
2020,Brandon Robinson, PRO ,NULL,liberty,rhode island,FBS Independents,CAA
2020,Chandler Rogers, DUAL ,NULL,southern mississippi,null,Conference USA,NULL
2020,Matt Romero, DUAL ,NULL,new mexico state,null,FBS Independents,NULL
2020,Kirk Rygol, PRO ,NULL,south florida,montana,American Athletic,Big Sky
2020,Michael Sessa, PRO ,NULL,michigan,null,Big Ten,NULL
2020,Nick Sproles, PRO ,NULL,florida,null,SEC,NULL
2020,Naylan Yates, DUAL ,NULL,ohio,null,Mid-American,NULL
2020,Khalil Herbert, RB ,0.7985,kansas,virginia tech,Big 12,ACC
2020,Ricky Slade, RB ,0.9853,penn state,old dominion,Big Ten,Conference USA
2020,Trey Sermon, RB ,0.9232,oklahoma,ohio state,Big 12,Big Ten
2020,Lorenzo Lingard, RB ,0.9861,miami,florida,ACC,SEC
2020,Ronnie Walker, RB ,0.8851,indiana,virginia,Big Ten,ACC
2020,Raheem Blackshear, RB ,0.8248,rutgers,virginia tech,Big Ten,ACC
2020,Jashaun Corbin, RB ,0.9074,texas am,florida state,SEC,ACC
2020,JaTarvious Whitlow, RB ,0.8667,auburn,western illinois,SEC,Missouri Valley
2020,Jaelen Gill, RB ,0.9831,ohio state,boston college,Big Ten,ACC
2020,Jerome Ford, RB ,0.8909,alabama,cincinnati,SEC,American Athletic
2020,Chase Hayden, RB ,0.8899,arkansas,east carolina,SEC,American Athletic
2020,Brittain Brown, RB ,0.8696,duke,ucla,ACC,Pacific-12
2020,Amir Rasul, RB ,0.9158,florida state,middle tennessee state,ACC,Conference USA
2020,Lavonte Valentine, APB ,0.8721,south carolina,south florida,SEC,American Athletic
