Team,Conference
boston college,ACC
clemson,ACC
duke,ACC
florida state,ACC
georgia tech,ACC
louisville,ACC
miami,ACC
north carolina state,ACC
north carolina,ACC
notre dame,ACC
pittsburgh,ACC
syracuse,ACC
virginia,ACC
virginia tech,ACC
wake forest,ACC
baylor,Big 12
iowa state,Big 12
kansas,Big 12
kansas state,Big 12
oklahoma,Big 12
oklahoma state,Big 12
tcu,Big 12
texas,Big 12
texas tech,Big 12
west virginia,Big 12
illinois,Big Ten
indiana,Big Ten
iowa,Big Ten
maryland,Big Ten
michigan state,Big Ten
michigan,Big Ten
minnesota,Big Ten
nebraska,Big Ten
northwestern,Big Ten
ohio state,Big Ten
penn state,Big Ten
purdue,Big Ten
rutgers,Big Ten
wisconsin,Big Ten
arizona state,Pacific-12
arizona,Pacific-12
california,Pacific-12
colorado,Pacific-12
oregon,Pacific-12
oregon state,Pacific-12
stanford,Pacific-12
ucla,Pacific-12
usc,Pacific-12
utah,Pacific-12
washington,Pacific-12
washington state,Pacific-12
alabama,SEC
arkansas,SEC
auburn,SEC
florida,SEC
georgia,SEC
kentucky,SEC
lsu,SEC
mississippi state,SEC
missouri,SEC
ole miss,SEC
south carolina,SEC
tennessee,SEC
texas am,SEC
vanderbilt,SEC
albany,America East
binghamton,America East
hartford,America East
maine,America East
new hampshire,America East
stony brook,America East
umbc,America East
vermont,America East
cincinnati,American Athletic
east carolina,American Athletic
houston,American Athletic
memphis,American Athletic
smu,American Athletic
south florida,American Athletic
temple,American Athletic
tulane,American Athletic
tulsa,American Athletic
central florida,American Athletic
wichita state,American Athletic
davidson,Atlantic 10
dayton,Atlantic 10
duquesne,Atlantic 10
fordham,Atlantic 10
george mason,Atlantic 10
george washington,Atlantic 10
la salle,Atlantic 10
rhode island,Atlantic 10
richmond,Atlantic 10
saint josephs,Atlantic 10
saint louis,Atlantic 10
saint bonaventure,Atlantic 10
massachusetts,Atlantic 10
virginia commonwealth,Atlantic 10
florida gulf coast,Atlantic Sun
jacksonville,Atlantic Sun
kennesaw state,Atlantic Sun
liberty,Atlantic Sun
lipscomb,Atlantic Sun
mercer,Atlantic Sun
north florida,Atlantic Sun
south carolina upstate,Atlantic Sun
stetson,Atlantic Sun
butler,Big East
uconn,Big East
creighton,Big East
depaul,Big East
georgetown,Big East
marquette,Big East
providence,Big East
seton hall,Big East
saint johns,Big East
villanova,Big East
xavier,Big East
cal poly,Big West
cal state fullerton,Big West
cal state northridge,Big West
hawaii,Big West
long beach state,Big West
uc davis,Big West
uc irvine,Big West
uc riverside,Big West
uc santa barbara,Big West
charlotte,Conference USA
florida international,Conference USA
florida atlantic,Conference USA
louisiana tech,Conference USA
marshall,Conference USA
middle tennessee state,Conference USA
north texas,Conference USA
old dominion,Conference USA
rice,Conference USA
southern mississippi,Conference USA
utsa,Conference USA
alabama birmingham,Conference USA
utep,Conference USA
western kentucky,Conference USA
cleveland state,Horizon
detroit,Horizon
northern kentucky,Horizon
oakland,Horizon
uic,Horizon
wisconsin green bay,Horizon
wisconsin milwaukee,Horizon
wright state,Horizon
youngstown state,Horizon
canisius,MAAC
fairfield,MAAC
iona,MAAC
manhattan,MAAC
marist,MAAC
monmouth,MAAC
niagra,MAAC
quinnipiac,MAAC
rider,MAAC
saint peters,MAAC
siena,MAAC
akron,Mid-American
ball state,Mid-American
bowling green,Mid-American
buffalo,Mid-American
central michigan,Mid-American
eastern michigan,Mid-American
kent state,Mid-American
miami ohio,Mid-American
northern illinois,Mid-American
ohio,Mid-American
toledo,Mid-American
western michigan,Mid-American
bradley,Missouri Valley
drake,Missouri Valley
evansville,Missouri Valley
illinois state,Missouri Valley
indiana state,Missouri Valley
loyola,Missouri Valley
missouri state,Missouri Valley
northern iowa,Missouri Valley
southern illinois,Missouri Valley
valparaiso,Missouri Valley
air force,Mountain West
boise state,Mountain West
colorado state,Mountain West
fresno state,Mountain West
nevada,Mountain West
new mexico,Mountain West
san diego state,Mountain West
san jose state,Mountain West
unlv,Mountain West
utah state,Mountain West
wyoming,Mountain West
denver,Summit
ipfw,Summit
iupui,Summit
nebraska omaha,Summit
north dakota,Summit
north dakota state,Summit
south dakota,Summit
south dakota state,Summit
western illinois,Summit
appalachian state,Sun Belt
arkansas state,Sun Belt
arkansas little rock,Sun Belt
coastal carolina,Sun Belt
georgia southern,Sun Belt
georgia state,Sun Belt
louisiana,Sun Belt
louisiana monroe,Sun Belt
south alabama,Sun Belt
texas state,Sun Belt
troy,Sun Belt
texas arlington,Sun Belt
cal state bakersfield,WAC
chicago state,WAC
new mexico state,WAC
seattle,WAC
umkc,WAC
utah valley,WAC
utrgv,WAC
byu,West Coast
gonzaga,West Coast
pacific,West Coast
pepperdine,West Coast
portland,West Coast
san diego,West Coast
st marys,West Coast
eastern washington,Big Sky
idaho state,Big Sky
idaho,Big Sky
montana,Big Sky
montana state,Big Sky
northern arizona,Big Sky
northern colorado,Big Sky
portland state,Big Sky
sacramento state,Big Sky
southern utah,Big Sky
weber state,Big Sky
campbell,Big South
charleston southern,Big South
gardner webb,Big South
high point,Big South
longwood,Big South
presbyterian,Big South
radford,Big South
unca,Big South
winthrop,Big South
delaware,CAA
drexel,CAA
elon,CAA
hofstra,CAA
james madison,CAA
northeastern,CAA
towson,CAA
uncw,CAA
wm,CAA
brown,Ivy
columbia,Ivy
cornell,Ivy
dartmouth,Ivy
harvard,Ivy
pennsylvania,Ivy
princeton,Ivy
yale,Ivy
bethune cookman,MEAC
coppin state,MEAC
delaware state,MEAC
famu,MEAC
hampton,MEAC
howard,MEAC
umes,MEAC
morgan state,MEAC
norfolk state,MEAC
ncat,MEAC
nccu,MEAC
savannah state,MEAC
south carolina state,MEAC
bryant,Northeast
ccsu,Northeast
fairleigh dickinson,Northeast
liu brooklyn,Northeast
mount st marys,Northeast
robert morris,Northeast
sacred heart,Northeast
saint francis,Northeast
sfny,Northeast
wagner,Northeast
austin peay,Ohio Valley
belmont,Ohio Valley
eastern illinois,Ohio Valley
eastern kentucky,Ohio Valley
jacksonville state,Ohio Valley
morehead state,Ohio Valley
murray state,Ohio Valley
siue,Ohio Valley
semo,Ohio Valley
tennessee state,Ohio Valley
tennessee tech,Ohio Valley
tennessee martin,Ohio Valley
american,Patriot League
army,Patriot League
boston,Patriot League
bucknell,Patriot League
colgate,Patriot League
holy cross,Patriot League
lafayette,Patriot League
lehigh,Patriot League
loyola maryland,Patriot League
navy,Patriot League
chattanooga,Southern
etsu,Southern
furman,Southern
samford,Southern
citadel,Southern
uncg,Southern
vmi,Southern
western carolina,Southern
wofford,Southern
central arkansas,Southland
houston baptist,Southland
uiw,Southland
lamar,Southland
mcneese state,Southland
new orleans,Southland
nicholls state,Southland
northwestern state,Southland
oral roberts,Southland
sam houston state,Southland
southeastern louisiana,Southland
sfasu,Southland
tamucc,Southland
aamu,SWAC
alabama state,SWAC
alcorn state,SWAC
arkansas pine bluff,SWAC
grambling state,SWAC
jackson state,SWAC
mvsu,SWAC
pvamu,SWAC
southern,SWAC
texas southern,SWAC
